Altium Designer Pick and Place Locations
D:\AD_projects\PCB_Project_1\Project Outputs for PCB_Project_1\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       12-04-25
Time:       20:13
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U2","STM32F411CEU6","TopLayer","STM-UFQFPN48_L","96.5000","75.0000","0","ARM Cortex-M4 32-bit MCU+FPU, 512 KB Flash, 128 KB RAM, 36 I/Os, 48-Pin UFQFPN, -40 to 85 degC, Tray"
"X1","24MHz","TopLayer","XTAL_3225","88.4000","72.1000","0","Crystal SMD 24MHz 10PPM 7pF 3225"
"U3","MPU-6050","TopLayer","IS-QFN-24_V","89.4168","81.3982","270","3-Axis Gyroscope, Accelerometer and a Digital Motion Processor(TM) (DMP), 2.375 to 3.46 V, -40 to 85 degC, 24-Pin QFN, RoHS, Tape and Reel"
"U1","AMS1117-3.3","TopLayer","FP-AMS1117-IPC_C","105.8000","64.7000","270","LDO Voltage Regulators 1A, 3.3V"
"R7","10k","TopLayer","RES_0402","95.7000","80.9000","270","Resistor SMD 0402"
"R6","0R","TopLayer","RES_0402","90.0000","74.3000","0","Resistor SMD 0402"
"R5","10k","TopLayer","RES_0402","105.3000","83.7000","0","Resistor SMD 0402"
"R4","1k","TopLayer","RES_0402","101.6000","71.4000","0","Resistor SMD 0402"
"R3","1k","TopLayer","RES_0402","98.7806","81.7626","180","Resistor SMD 0402"
"R2","1k","TopLayer","RES_0402","96.0000","82.5000","0","Resistor SMD 0402"
"R1","10k","TopLayer","RES_0402","112.3000","67.1000","270","Resistor SMD 0402"
"J3","SM06B-GHS-TB","TopLayer","SM06B-GHS-TB","93.6000","63.6000","0","Header Connector 6 Position 1.25MM Pitch SMD Horizontal JST GH"
"J2","TC2030-NL","TopLayer","TC2030-NL-FP","103.8300","81.0650","180","Tag-Connect No-Solder SWD Debug Connector (No Legs) DO NOT PLACE"
"J1","473460001","TopLayer","FP-473460001-MFG","111.4200","76.3000","90","CONN RCPT USB2.0 MICRO B SMD R/A"
"FB1","120R","TopLayer","FB_0603","106.5430","74.4556","180","Ferrite Bead SMD 0603"
"D2","RED","TopLayer","LED_0402_RED","101.6000","72.7000","0","LED 0402 RED SMD"
"D1","GREEN","TopLayer","LED_0402_GREEN","112.3000","64.3000","90","LED 0402 GREEN SMD"
"C17","2.2u","TopLayer","CAP_0603","97.1000","70.4000","0","Capacitor SMD 0603"
"C16","100n","TopLayer","CAP_0402","91.9000","73.8000","270","Capacitor SMD 0402"
"C15","100n","TopLayer","CAP_0402","92.1000","77.9000","90","Capacitor SMD 0402"
"C14","100n","TopLayer","CAP_0402","99.3000","70.6000","0","Capacitor SMD 0402"
"C13","100n","TopLayer","CAP_0402","101.5000","77.9000","90","Capacitor SMD 0402"
"C12","100n","TopLayer","CAP_0402","94.0000","79.4000","180","Capacitor SMD 0402"
"C11","2.2u","TopLayer","CAP_0603","90.9000","77.6000","90","Capacitor SMD 0603"
"C10","100n","TopLayer","CAP_0402","103.4000","83.7000","0","Capacitor SMD 0402"
"C9","10n","TopLayer","CAP_0402","92.6168","80.0982","90","Capacitor SMD 0402"
"C8","10n","TopLayer","CAP_0402","86.2076","82.2198","90","Capacitor SMD 0402"
"C7","100n","TopLayer","CAP_0402","85.9000","80.4000","90","Capacitor SMD 0402"
"C6","10p","TopLayer","CAP_0402","88.1000","74.3000","180","Capacitor SMD 0402"
"C5","10p","TopLayer","CAP_0402","90.8000","72.4000","270","Capacitor SMD 0402"
"C4","22u","TopLayer","CAP_0805","110.4000","65.4000","270","Capacitor SMD 0805"
"C3","22u","TopLayer","CAP_0805","106.8000","70.1000","180","Capacitor SMD 0805"
"C2","2u2","TopLayer","CAP_0402","105.7430","72.8556","90","Capacitor SMD 0402"
" ","2u2","TopLayer","CAP_0402","107.3430","72.8556","90","Capacitor SMD 0402"
